"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62"
"11",1672.975,1723.58,2289.035,5784.1212,3830.425,4454.9625,3301.1288,5387.9663,1894.9288,2776.2287,2329.9412,1179.735,2126.065,2798.1625,1989.5938,1735.0775,2821.5975,1019.0062,3206.4988,2266.2062,995.0475,3280.8462,2598.06,2441.4188,2724.2662,1496.4063,7927.6525,6707.6762,2936.3287,5199.195,6094.9887,2940.9638,2260.7925,7473.6362,4491.1775,1387.1887,967.785,4984.2237,3186.3025,2683.17,8021.1375,2801.8975,3783.525,6404.315,2530.7812,2446.04,2939.0475,2983.8012,2962.7225,2369.64,4445.775,3932.2062,5468.1563,7351.6738,1210.8162,5096.5088,2831.0913,2475.54,3431.5662,1398.4675,6527.65,1985.2262
"12",1792.1769,1298.725,2162.2865,2222.2077,3046.9462,2341.6423,2130.0058,1088.8596,3095.5019,2877.6885,1875.1712,1632.9096,1412.5923,2678.8692,2413.0923,1866.5731,2583.5865,2190.1077,2421.4769,1747.1269,1272.5135,1655.3058,1522.6462,1487.6712,2557.7846,1604.2615,2022.6731,3870.9096,2590.7096,2579.7115,2678.0385,2707.5346,1934.1269,2683.6558,4066.3308,1172.8154,962.56154,3014.0712,2319.6538,2520.9865,2890.6904,1604.9462,2129.9346,3721.8115,1287.1308,2522.7885,2851.5615,2302.5538,1894.2827,1440.5462,3337.2692,2551.8538,4009.4769,3543.9788,989.275,4224.2308,2849.5923,1496.0404,2122.3596,1291.8173,3105.425,1329.4423
"13",3792.5425,1309.3475,2070.0775,2502.81,8878.3088,4825.5338,2352.1187,1894.865,2565.13,4531.5512,5504.675,2390.1025,2692.5775,2393.4375,5328.29,6146.0162,4650.895,1816.495,1859.28,2105.7363,3456.8562,2565.43,1300.5988,1315.8538,3164.6962,1489.905,1427.5125,7921.855,2639.3087,1943.8275,1550.4325,1290.5825,2410.1338,2592.505,2343.0825,2211.9012,2605.3662,3380.8475,5880.6338,4964.4912,3754.6662,3529.4738,2038.0687,3919.8563,1569.9888,1500.4488,4113.7088,1964.4725,2140.4712,1016.8863,4777.8675,7450.415,3601.6875,6017.5,2881.5962,2309.1612,1539.0225,2282.8475,2822.3963,886.01875,2482.5662,1347.2637
"14",3630.3825,1789.67,3466.7912,3616.2462,5729.3212,6074.59,3216.1538,2464.1925,2445.2112,5161.1388,2411.4625,1421.7175,3547.2575,4583.1938,7127.0112,4707.5862,5976.1088,2953.2975,5320.0938,1895.8125,2715.22,3764.3637,1181.63,855.455,2285.3088,1364.17,3334.285,3648.4275,2609.5725,2555.9375,1290.42,2166.385,1356.3238,2543.7,3915.7238,1128.4938,1181.2888,3193.8737,2399.0637,2664.5875,3593.9688,2190.555,2917.37,3550.6888,1593.4575,2332.2375,1333.7725,2490.7412,2582.0113,1842.4163,5455.745,4986.5912,6879.555,5247.5675,2263.2362,7860.9288,3242.0425,3760.6825,3008.3175,937.2375,3450.61,1270.1688
"15",1906.2131,1587.7917,2137.4179,1673.2262,2763.3226,3723.8786,2676.3714,3904.8405,1834.0917,2910.6381,1821.2298,1243.7488,2164.8369,2665.5131,3681.7107,2050.5583,2555.6202,1865.2988,3043.6893,938.95952,824.8381,2919.9,2417.9583,802.30476,2576.7488,2093.5012,5329.6643,5570.3083,2711.7464,3371.3012,4205.4179,3095.9988,1931.6167,5571.2786,6517.9214,1528.3976,1728.3679,4816.3583,3481.2512,4316.2964,4053.894,2099.7893,3900.6429,4788.1048,1925.3524,3030.4512,2712.9714,3483.5976,4021.4845,1772.2583,5455.8857,3753.8167,6581.256,6136.1,1327.6643,7190.9964,3491.619,2101.5298,1941.9905,1876.1274,5076.6643,1767.2881
"16",5745.3958,3496.1458,2716.3792,4623.0792,5865.6583,3353.4667,4670.8958,2767.2958,4361.5042,4113.7125,8844.9917,758.52917,4331.9667,4444.9583,7727.6125,6173.1,6192.3875,4524.5292,5520.9667,3531.5792,4483.5042,3681.35,3139.4,3251.1083,3056.725,3048.0792,1547.2167,8512.0292,3462.9042,4847.6625,1872,2177.3125,5822.575,3060.5708,6189.925,2448.7583,2961.7333,5862.6875,8076.1167,7631.15,4819.0083,2796.75,3104.8083,4712.1542,2389.9917,2043.3708,5104.2625,2124.0833,3437.2042,1588.3917,7722.4333,10694.517,6469.8083,8252.9083,3513.7333,4295.8208,2595.5375,2825.1583,2817.8042,1591.5958,4989.6875,2431.4042
"17",1919.4462,1226.2975,1497.1588,1871.76,1828.0662,2760.96,2462.9725,1470.145,1362.3875,1957.5963,2078.15,745.535,2752.5962,2180.675,4888.7275,2143.0725,5407.1675,3225.5862,3162.4537,2499.9825,1973.8638,3288.5,2473.2613,781.995,1391.59,1324.5413,4694.58,4844.5225,1939.0725,2619.6062,1598.1037,2845.1013,2949.2062,3213.7012,3477.2725,1528.4088,882.87875,3756.5625,3513.2113,2461.075,3890.42,2170.4375,2861.235,3533.0862,2823.5,3639.825,1545.445,3914.9063,3441.9025,1474.1262,4298.315,4003.8562,6988.945,6756.0225,1749.1638,8875.92,3740.6637,2603.8588,2185.6563,1435.05,6692.5987,2593.85
"18",2036.2838,1597.2812,1586.2438,3154.8287,3078.7437,2863.18,2266.1,2091.58,2974.7375,3553.4887,1802.48,1246.6538,1790.9838,2226.145,3489.365,2272.5138,3898.8013,923.4,3021.4025,1808.725,1391.8262,2148.9275,1306.9038,1618.65,2162.5537,1452.915,2193.6938,4143.3837,1567.6962,2329.3513,1534.755,2461.6612,2181.6263,2580.6863,2748.2,818.43625,736.87375,2328.3,1487.4137,2015.6562,3816.6275,1518.9175,1762.46,3442.7437,2238.2275,2764.9938,1365.2862,1939.4625,1640.21,1144.0962,4680.4075,3372.5712,4277.1987,4069.59,960.12625,2813.41,2738.0187,1989.2988,1898.2925,848.9675,3717.11,1163.0088
"19",2253.3625,1144.6912,962.01,1624.4112,3741.37,3036.5888,2339.8512,1705.1425,810.26375,1511.0812,3548.0762,716.77375,2288.4675,1019.7525,3170.3825,2366.81,3718.7088,2622.0725,1425.25,1879.2088,2468.22,2331.1225,1285.6025,1066.8387,1540.25,2003.4838,1077.535,7256.515,2602.1038,1918.6375,1366.4275,863.07,2160.3662,3579.3662,3189.6725,2111.7038,3053.805,4156.9025,7498.0487,6516.7038,4531.93,2073.3775,2882.1787,2509.0112,1700.2225,1795.625,2410.9225,2569.2563,3898.9237,846.75125,3653.1625,5071.6837,2821.5962,3938.1575,1644.8025,2933.33,1440.5425,1517.4625,1456.71,1235.0512,3561.9775,1583.59
"20",2490.8737,1139.6275,1214.7675,1150.885,4443.52,3695.51,2393.4575,3567.9275,672.95625,1969.8812,3175.96,837.87,2944.065,1372.08,3407.7462,2444.8287,3559.775,3851.5075,1455.4225,2005.3412,2214.7875,1993.0112,1900.3613,1006.2112,2705.675,2217.34,1433.41,7761.745,2780.755,2737.7088,2008.3675,1591.6775,2567.9162,3919.055,3861.8562,2984.0025,2884.7188,5241.4475,9255.1638,7140.725,4865.5138,2529.5487,2803.1775,2513.4312,1564.8262,1416.7738,4948.56,2593.31,3779.0675,1044.3225,3950.31,5406.7762,3470.405,4974.4063,1823.785,3462.9562,2716.055,1902.4188,2051.3825,1651.6037,3590.9975,1996.9637
"21",3759.585,2662.0975,904.7225,1309.1838,2707.755,6745.5112,2184.6412,3904.4412,1986.42,1580.9988,2897.2038,666.18125,1975.3462,2317.0512,5822.3962,2238.89,4673.005,3926.7725,1433.8137,2140.16,2291.665,3532.64,3504.2138,1436.785,1271.7187,3247.1388,4611.555,6512.1137,1501.7825,3121.4687,4427.2888,2331.8188,4051.4463,2570.7737,2850.8563,2123.0238,2462.71,4045.1362,5071.75,4702.6787,3191.2488,2422.5538,3209.8813,2343.1937,2825.6437,1485.0312,3262.9075,1469.8312,4078.8538,1344.1313,8706.22,6202.2862,6012.3,3151.0237,2738.6212,6774.865,3054.1612,1319.4162,2400.5862,2728.3325,5292.1362,2816.8463
"22",4268.9187,2636.1562,3970.4225,3015.6388,5904.6025,4152.6462,3253.185,4877.5438,4710.4088,5303.4438,3519.0137,2126.8,3790.3488,5046.6112,6087.9038,4139.6612,3745.3237,4547.205,4249.485,3340.21,3013.675,3658.9575,2428.0525,658.87875,4439.8913,3275.5663,9533.935,6518.91,4141.8625,5193.0575,3755.1212,4360.75,4084.8675,12112.095,7337.0613,2777.7887,2727.2737,4489.4662,4162.4525,5775.1662,4477.0738,4508.9312,5590.9775,5853.3075,2619.1463,5121.1038,3577.6638,4567.065,3986.6462,3181.015,9993.6888,4944.29,8254.4513,9734.1538,2311.44,10781.306,7008.135,3727.3088,2481.8925,1587.9538,4991.01,3279.5288
"23",4166.1912,3134.7475,906.59625,1206.1875,1806.1387,6646.4338,2698.2388,3845.1375,1626.0725,1520.68,3079.83,607.09125,1720.7588,2116.5412,5796.3837,2323.9912,4060.945,4155.9488,1514.38,1673.5062,2744.1837,3263.8262,5150.0137,1924.7913,2030.6738,3186.0575,4302.4537,10051.35,2104.18,3024.9675,5326.9887,3104.5638,3027.8475,1402.3688,4213.0125,2933.1662,2861.2,5136.6525,6341.9387,7703.0875,4033.6512,2730.7488,3249.5962,2697.5688,2374.8963,1897.82,3712.2562,2568.2138,5709.8462,1673.0325,9131.4263,5458.3925,8120.465,5191.4337,2837.3225,6473.4875,4304.8675,1412.155,2075.6088,2231.07,4514.9387,2897.6262
"24",4286.69,4244.07,1313.0588,1640.315,3337.0962,5772.7112,2001.15,4059.92,1367.63,1185.38,3918.6837,606.78875,2484.21,2292.415,3187.5575,3918.9912,1938.6838,2961.5325,4041.1975,1900.075,3144.625,1036.3675,3855.84,2080.6612,2249.8188,1905.6438,10721.298,1828.725,2680.4788,3013.6038,1168.3987,1928.4212,6200.6775,1337.9912,3309.3575,3795.6738,2771.105,6243.2462,9146.9538,2622.0188,6940.8387,1424.855,1454.0438,5251.4013,3848.03,1682.6788,3298.3475,2139.98,2694.95,3628.905,2194.0612,5923.9275,3694.6288,5199.3487,1547.6487,4618.1037,5379.28,1683.8163,3912.4412,2202.5988,3117.7375,1767.5075
"25",2699.2844,1186.8938,1950.3906,2641.15,2910.1281,2065.1312,2619.0156,982.10938,2500.3281,2387.0844,2391.0719,1603.7219,1139.0438,2495.1656,1911.9,1657.3531,2735.0062,1889.2562,2153.7562,1338.6094,903.14375,1541.1188,1806.475,1155.9438,2150.1219,1557.7375,2199.5406,3104.8094,3317.6125,2617.1188,2266.85,2134.5688,2644.1844,2630.9062,3709.1938,1056.5594,1037.1375,2547.0594,1640.9781,2183.9281,2689.9812,1478.675,1880.7094,3390.9062,1212.975,2135.3094,2094.3406,2052.1219,1791.15,1219.3969,3370.5469,1994.7469,4202.4625,3514.975,601.55,4620.1375,2958.4188,1305.6969,1843.0906,1186.0438,3144.9406,929.74688
"26",2796.0833,2342.3821,1788.1464,1752.5536,1769.3333,3548.3964,3524.4393,6187.4679,1030.1786,1812.9714,2041.3274,590.35238,2527.8821,2633.5762,4436.5321,2073.5512,5584.45,5670.2976,4263.9,3509.094,2003.531,3364.625,3192.4131,1444.0964,3350.5024,3116.1952,6264.4929,9309.4012,4384.3655,6432.0738,5521.6202,4610.9571,3263.1167,5261.3393,9026.3762,2461.8917,2444.1381,8041.2952,5440.0524,6794.7048,6356.9643,3309.4119,5881.081,5626.5905,3247.456,5217.5,4268.0714,6775.8036,6483.6048,3229.7226,6788.575,4830.3512,11454.71,6789.4012,1752.4083,12061.6,6046.3131,2187.0452,3177.3286,2564.9345,9123.4595,2580.5595
"27",1015.9143,792.21429,1254.5155,1531.5286,1837.2762,1533.7988,1065.0833,715.57262,1355.2738,1539.4952,949.27619,919.46429,846.40952,1571.6107,1202.5726,956.66667,1377.0857,902.76667,1380.1119,1075.8214,649.77024,934.97738,872.01429,853.44286,1563.9893,925.72024,1278.0262,2472.2333,1312.0869,1626.2929,1082.6524,1556.6512,965.75357,1441.9143,2402.9298,743.0631,569.7369,1772.594,997.34524,1437.9167,1818.4595,972.99524,1252.4607,2319.1464,804.64762,1594.756,1548.4452,1450.1536,1189.7798,868.81905,2172.2417,1223.9226,2714.6345,2365.9,621.60476,2516.7024,1717.2738,901.61071,1108.1143,772.20952,1915.194,699.08571
"28",1459.1025,1133.2375,1639.1475,2560.4425,2578.5825,3030.3212,1670.9275,1873.1875,1233.6362,2108.4112,1294.0625,568.015,1948.6425,2883.85,3687.3787,2712.7338,3509.815,1582.6412,2961.5212,3174.8338,1983.4488,3162.6438,1135.8238,734.52875,1903.5825,1644.2763,3597.075,4906.445,2294.8888,2683.2588,2262.1925,2160.1963,1815.53,2324.0875,2943.06,1374.8238,1055.2862,2913.725,2514.4012,3173.8725,3226.655,1924.8638,3319.1325,3504.1862,1730.5325,3139.62,1522.125,3892.9375,2726.34,1574.1025,4783.5187,4043.165,6801.9387,5809.5412,1293.4012,6943.2488,2585.6538,3017.2,3163.755,1205.9475,4192.3725,1884.115
"29",2865.0388,969.82375,819.18875,1293.7763,2949.155,2410.8575,2221.0737,4691.3487,589.59875,989.5,2887.5162,566.8675,2547.3487,966.055,3281.7975,1308.5412,3843.1275,2838.525,1499.6087,984.3775,2078.5775,2912.83,2365.2425,763.3075,1568.1113,1902.5725,719.1475,2687.1738,1978.4025,1829.98,1413.115,594.06375,3306.3425,2378.6512,3056.975,2015.93,2431.3938,4126.5312,5734.5612,5205.3137,4336.7062,1393.2925,2976.26,2919.825,1801.9587,1255.2438,3055.8437,2045.0137,3651.995,980.91875,2549.1225,5983.4588,2321.0562,3799.4375,1975.8613,3135.0325,2186.6275,1450.425,1501.2162,2035.7137,6196.5013,1575.7463
"30",1156.9563,835.38625,1454.7625,3926.4175,2830.0488,2369.6288,1343.9725,777.33,2126.6362,2369.385,1669.0375,561.33625,2726.3075,2171.1987,6215.1312,3633.0762,2385.4,3715.7725,3483.9925,2280.18,2058.875,3381.2213,1567.2363,704.1175,1368.8175,2218.7425,3315.9988,1834.1825,1322.0025,3971.8412,1591.455,3637.5475,2487.8037,3264.075,2137.425,1644.9912,666.59,2104.5775,3182.1812,1557.605,2600.595,1701.6475,1894.705,3241.54,2032.9575,2134.4988,1267.4963,1759.69,1490.74,1556.1875,4988.2337,2915.4662,4907.0862,4098.03,1274.575,6089.8975,2565.065,2553.1237,2256.8925,824.305,1917.3475,3717.3425
"31",1351.965,1392.7162,1227.4187,1013.6188,2092.195,2782.4613,1968.2287,3494.7025,1150.1225,1531.345,1300.36,538.69,1408.2212,1299.7088,3214.0075,1190.3163,2496.17,3990.585,1976.9088,1155.8613,1055.8862,1975.7037,1643.5575,591.80875,2648.2675,2194.0725,4410.2625,6470.8625,2243.1163,3146.7562,2849.1175,3175.82,1402.8175,4601.6762,4989.4425,1588.8138,1440.68,4498.6762,2857.9788,4260.6275,2775.8488,1756.5738,3464.5238,2834.3562,1745.7225,3098.4312,2660.8438,4448.2275,3520.1675,1346.3125,6446.6963,2618.8062,6563.6188,8193.9875,849.095,7018.5325,2956.5238,1626.7412,1743.5737,1470.9713,5432.175,1995.5488
"32",3218.3212,3034.5712,916.7125,786.10125,2423.3662,2905.3687,1912.9438,1716.6538,1397.4188,971.91625,3128.27,524.0875,2547.3275,2069.185,3036.1575,2852.4325,2133.675,1357.1625,2675.0937,1180.19,2595.435,1911.4012,1582.035,807.39375,1073.41,1298.0925,3309.9425,1135.6275,1173.6325,2443.9775,870.00375,1367.58,2938.2788,1157.45,2014.9962,1367.6125,1146.4575,2059.7325,3425.4612,1866.77,3636.58,812.37625,781.055,1346.9337,1879.3225,526.39625,1573.7525,720.53125,1932.92,1485.52,1604.9338,4026.8775,1994.4462,2092.2475,1472.8362,1814.3375,2365.4537,1533.6225,1964.0837,1325.2125,1317.71,861.10625
"33",3855.5338,4699.395,576.78375,1077.6875,1488.0175,5638.2213,2698.3637,8418.0475,807.14,511.85875,2639.21,502.19125,1945.9038,1314.6662,2850.95,2861.675,4472.4412,4387.9862,3628.4825,1575.6825,2770.4612,2886.5775,2854.9875,2138.8725,1207.4162,2604.635,6966.7813,2039.5575,3065.0138,3092.67,1740.2262,2124.6012,3335.4088,1069.245,3436.805,3590.0875,2962.8488,6723.9675,7713.3038,3387.3863,5392.205,843.62625,1653.2287,3727.8238,2278,2143.3575,2897.5588,2138.5875,3366.1288,2753.625,3987.2312,5379.8825,3666.9275,3630.6612,1588.7088,6491.285,4711.905,1818.0688,4127.2787,3051.5288,5229.73,1651.995
"34",3097.4538,3312.4812,745.34,1956.6438,1670.8625,2167.53,2129.7087,1875.9375,1241.8537,908.2275,3132.3375,473.665,1942.5775,1749.36,2115.1375,2720.4238,1925.5125,2104.5188,2835.3675,1229.3662,2260.7362,1747.9625,2513.335,1734.115,1201.7687,1743.8225,3493.0212,484.6975,1898.8738,1965.465,832.81125,1565.1562,1152.4612,803.5675,2354.6875,1840.1275,1904.2725,3895.1725,4246.7012,3372.7488,3674.7338,589.58,750.81125,2916.3838,1659,1058.3562,2544.1362,1027.29,1601.035,1464.5225,1874.3612,2946.4338,1996.3838,2888.33,1012.32,2700.7525,1991.8162,1307.7588,2214.14,973.625,2086.785,1367.3462
"35",1667.5425,854.42875,994.6125,987.24375,2562.0838,1431.345,1312.3275,552.00875,1742.7675,1398.5812,2822.9975,1285.6387,1015.11,1354.0962,667.64,1464.1975,1576.485,1265.7612,569.32,889.70875,514.63875,786.16375,930.07125,905.62,1733.8238,1068.4188,478.95875,2381.2488,1758.8725,993.73875,1453.6625,867.7275,1808.1975,1802.6588,1897.485,1058.4975,1111.7225,2526.5875,2513.995,2491.5338,2028.66,1144.3975,1127.325,2187.28,736.67,802.01,2418.115,979.4525,1063.8238,655.935,986.26625,1116.63,1404.3712,1582.86,827.71625,1617.015,1281.0162,461.22125,1004.5112,781.6775,1820.9188,731.34375
"36",2779.3038,1880.54,540.46875,749.75,998.76875,4142.28,1673.9525,2936.06,1409.38,730.46,2299.9662,460.31875,1381.64,1459.83,4164.0963,1548.32,3106.4588,2963.33,741.62375,1435.22,2030.5062,2404.915,3166.58,1378.12,621.65,1901.3812,2721.45,5213.7875,842.92125,1782.7125,3119.1512,935.8,2719.9425,1430.48,2500.815,1716.11,1802.7262,2912.8675,5319.1938,4799.7612,3518.4137,1661.2188,2359.9738,1658.42,2132.2538,1265.5163,2009.0012,1604.0588,3790.585,995.7,5684.5888,3917.55,4449.0187,2216.5425,2050.5237,4989.6612,2707.2788,701.135,1243.3875,1907.5412,4538.2575,1768.6612
"37",1064.2675,1329.3225,1236.0762,1259.8238,2256.7062,2775.6813,1421.7212,4327.8812,797.04,1379.7425,1059.9275,439.67625,1177.5475,1644.495,2589.8162,1220.0613,2725.8488,2857.98,2368.1938,1635.4838,1122.9712,2080.17,930.30375,797.1925,1381.4825,1749.7912,3580.59,5492.2688,1458.19,3158.8275,2074.6237,1437.3013,1397.305,2962.7325,3377.2363,1075.0762,1233.9725,3553.1625,2139.6212,2705.1787,2580.6775,1656.3125,4568.8,2970.5662,1271.845,2144.125,1230.3538,3603.4712,2435.16,1432.1562,4361.1788,2681.4187,4555.5312,5038.4225,972.24,6190.5762,2857.015,1752.6825,1786.6825,1263.22,2897.3463,1332.6038
"38",2430.8788,3124.2487,422.65625,1215.6525,807.95,2442.4562,2080.255,2256.5488,1026.9737,454.1375,2443.27,471.76625,1239.2612,990.69,1543.835,1470.0475,1773.9163,1910.615,2018.5713,720.6875,1100.02,1164.6513,2018.355,1880.1875,719.4525,1746.8438,2497.8112,762.15625,1752.2275,1609.3537,1310.9475,1189.425,2135.76,787.405,2424.275,1230.505,1372.8838,4111.6975,3503.8638,2203.4512,3232.2963,596.0775,982.26125,2360.4262,1394.8713,868.525,2487.6588,956.835,1590.3,803.03125,1633.7812,2475.9338,1442.28,1624.57,621.03,2229.6563,1508.505,672.5175,1781.7,685.9825,1677.315,881.66
